label,transaction
gas/transportation,Clean Energy - Greenpoint - National Grid
gas/transportation,Clean Energy - Canarsie - National Grid
gas/transportation,Con Edison - W 29th St Service Center
gas/transportation,Con Edison - E 16th St Service Center
gas/transportation,Con Edison - Van Nest Service Center
gas/transportation,Clean Energy - OGS Valhalla
gas/transportation,Con Edison - College Point Service Center
gas/transportation,Clean Energy - Brentwood - National Grid
gas/transportation,Clean Energy - Hicksville - National Grid
gas/transportation,Clean Energy - Albany - National Grid
gas/transportation,Central New York Regional Transportation Authority - Centro
gas/transportation,Clean Energy - OGS Albany
gas/transportation,Suburban Propane
gas/transportation,Combined Energy Services
gas/transportation,Washington Mills Citgo
gas/transportation,Irish Propane
gas/transportation,Phelps Sungas Inc
gas/transportation,Phelps Sungas Inc
gas/transportation,Phelps Sungas Inc
gas/transportation,Porco Energy Corp
gas/transportation,Clean Energy - Riverhead - National Grid
gas/transportation,Clean Energy - Hewlett - National Grid
gas/transportation,Clean Energy - OGS Hauppauge
gas/transportation,Clean Energy - OGS Syosset
gas/transportation,John Ray & Sons
gas/transportation,Campus Mobil
gas/transportation,Clean Energy - OGS Utica
gas/transportation,Sunoco - McBirney's Auto Service
gas/transportation,Cumberland Farms #3132
gas/transportation,Boat-N-RV Warehouse
gas/transportation,Shell
gas/transportation,Citgo
gas/transportation,Ehrhart Propane & Oil
gas/transportation,Airport Mobil
gas/transportation,Croton-on-Hudson Gulf
gas/transportation,National Fuel - Buffalo
gas/transportation,Clean Energy - Town of Brookhaven
gas/transportation,Bay Gas Service
gas/transportation,Union - 76
gas/transportation,BP
gas/transportation,Water Mill Fuel Complex - Shell
gas/transportation,Sunergy
gas/transportation,Eddie's Service Center - Citgo
gas/transportation,Village Service Station
gas/transportation,Mobil
gas/transportation,Village Mobil
gas/transportation,Gasoline Heaven - Gulf
gas/transportation,Glenmont Mobil
gas/transportation,BP
gas/transportation,Prime Convenience Inc
gas/transportation,Montgomery Valero
gas/transportation,Banahan Brothers
gas/transportation,Southfields Valero
gas/transportation,Bob's Tire and Auto Service
gas/transportation,Citgo
gas/transportation,Citgo
gas/transportation,Starlite Propane Gas Corp
gas/transportation,Synergy Gas Corp - A Cornerstone Partner
gas/transportation,84 Quik Stop - Citgo
gas/transportation,Bridgehampton Service Station
gas/transportation,Gulf
gas/transportation,Hudson Valley Community College - TEC-SMART Building
gas/transportation,Clean Energy - Town of Smithtown
gas/transportation,Parkway Gulf
gas/transportation,EDISONPARKFAST
gas/transportation,CARCHARGING
gas/transportation,John Ray & Sons
gas/transportation,Heims Auto Care
gas/transportation,L&W Landscape
gas/transportation,Eastport Valero
gas/transportation,Citgo
gas/transportation,CARCHARGING
gas/transportation,EDISONPARKFAST
gas/transportation,BEAM CHARGING
gas/transportation,Valero - Selden
gas/transportation,Norman's Auto Service
gas/transportation,Prestige Petroleum - Mobil
gas/transportation,Sunergy
gas/transportation,Sunoco Express Mart
gas/transportation,Mobil Express Mart
gas/transportation,BEAM CHARGING
gas/transportation,TOWN OF BABYLON
gas/transportation,BEAM CHARGING
gas/transportation,EVPASS
gas/transportation,Clean Energy - Syracuse - National Grid
gas/transportation,Clean N' Green
gas/transportation,BEAM CHARGING
gas/transportation,HPW Energy Inc
gas/transportation,AAA Car Care Plus
gas/transportation,BEAM CHARGING
gas/transportation,US Petroleum
gas/transportation,Mobil Express
gas/transportation,PANYNJ
gas/transportation,BEAM CHARGING
gas/transportation,Thruway Nissan
gas/transportation,West-Herr Nissan
gas/transportation,Nissan 112
gas/transportation,Garrand's Nissan
gas/transportation,Nissan City - Port Chester
gas/transportation,Riverhead Auto Mall
gas/transportation,Dorschel Nissan
gas/transportation,Smithtown Nissan
gas/transportation,Lia Nissan
gas/transportation,Massapequa Nissan
gas/transportation,SG Hylan Motors
gas/transportation,Gregoris Motors
gas/transportation,Legend Nissan
gas/transportation,Serafini Nissan-Volvo
gas/transportation,Poughkeepsie Nissan
gas/transportation,Vision Nissan
gas/transportation,Atlantic Nissan
gas/transportation,Legacy Nissan
gas/transportation,White Plains Nissan
gas/transportation,West Herr Nissan Williamsville
gas/transportation,Nissan of Yorktown Heights
gas/transportation,Destination Nissan
gas/transportation,Mike Barney Nissan
gas/transportation,Lebrun Nissan
gas/transportation,Star Nissan
gas/transportation,Rockland Nissan
gas/transportation,Bay Ridge Nissan
gas/transportation,Kings Nissan
gas/transportation,Burdick Nissan
gas/transportation,Hoselton Nissan
gas/transportation,Rockaway Nissan
gas/transportation,Maguire Nissan
gas/transportation,Nemet Motors
gas/transportation,Herba Nissan
gas/transportation,Nissan of Garden City
gas/transportation,Simmons Rockwell Nissan
gas/transportation,Nissan of Huntington
gas/transportation,Kingston Nissan
gas/transportation,Niagara Nissan
gas/transportation,Nissan Kia of Middletown
gas/transportation,Nissan of New Rochelle
gas/transportation,Clean Energy - Commack Truck Garage
gas/transportation,MP 102 LLC
gas/transportation,Green Mountain Electric Supply
gas/transportation,CARCHARGING
gas/transportation,Baron Nissan
gas/transportation,Dana Ford Lincoln
gas/transportation,CARCHARGING
gas/transportation,EVPASS
gas/transportation,CARCHARGING
gas/transportation,CHARGINGSTATION
gas/transportation,CARCHARGING
gas/transportation,CARCHARGING
gas/transportation,Bob Johnson Nissan
gas/transportation,Shults Nissan
gas/transportation,Jim Harte Nissan
gas/transportation,Nissan of Queens
gas/transportation,Town of Penfield Library
gas/transportation,Combined Energy Services
gas/transportation,Islandia Axim - Gulf
gas/transportation,Farci Fuels
gas/transportation,CARCHARGING
gas/transportation,NATIONAL GRID
gas/transportation,Audia Chevrolet
gas/transportation,CARCHARGING
gas/transportation,NATIONAL GRID
gas/transportation,Trillium Mirabito
gas/transportation,V & V Auto
gas/transportation,OK Petroleum
gas/transportation,Mike's Super Citgo
gas/transportation,BP
gas/transportation,Autosaver Ford
gas/transportation,Henderson Ford
gas/transportation,Steet-Ponte Ford Lincoln Mazda
gas/transportation,EVPASS
gas/transportation,EVPASS
gas/transportation,CARCHARGING
gas/transportation,DoubleTree by Hilton - Binghamton - Tesla
gas/transportation,GGMC Parking - Tesla
gas/transportation,Hampton Inn - Tesla
gas/transportation,Icon Parking - Tesla
gas/transportation,Jedediah Hawkins Inn - Tesla
gas/transportation,ParkIt - Tesla
gas/transportation,ALBANESE ORG
gas/transportation,Clean Energy - Westhampton Beach
gas/transportation,Sylvan Parking - Pinnacle Garage
