Bethel School District,school
Canterbury School District,school
Chaplin School District,school
Colebrook School District,school
Colebrook Consolidated School,school
Horace W. Porter School,school
Eastford Elementary School,school
East Haddam School District,school
Nathan Hale-Ray High School,school
Farmington School District,school
Old Greenwich School,school
Guilford School District,school
Kent Center School,school
Killingly School District,school
Center School,school
Litchfield Intermediate School,school
Litchfield High School,school
Lawrence School,school
New Britain School District,school
North Canaan Elementary School,school
Wolfpit School,school
Plainfield High School,school
Ridgefield School District,school
Farmingville Elementary School,school
Salisbury Central School,school
Sharon Center School,school
Shelton School District,school
Intermediate School,school
Sterling School District,school
Voluntown School District,school
West Haven High School,school
RHAM High School,school
Nonnewaug High School,school
University of Hartford Magnet School,school
Regional Multicultural Magnet School,school
Connecticut River Academy,school
Brooklyn Correctional Institution,school
Enfield Correctional Institution,school
Osborn Correctional Institution,school
Robinson Correctional Institution,school
River Valley Services,school
Ansonia High School,school
Parkville Community School,school
Orville H. Platt High School,school
Smith Middle School,school
Jennings School,school
Gideon Welles School,school
Old Saybrook School District,school
Masuk High School,school
Middletown High School,school
East Hartford High School,school
Tolland Intermediate School,school
New Milford School District,school
Lincoln-Bassett School,school
Governor William Pitkin School,school
Hallen School,school
Eli Terry Jr. Middle School,school
Rogers International School,school
New Milford High School,school
Northeast School,school
Westport School District,school
West Side Middle School,school
Cornwall School District,school
J. F. Kennedy School,school
New Lebanon School,school
Melissa Jones School,school
The Morgan School,school
A. Baldwin Middle School,school
Danbury High School,school
Old Saybrook Middle School,school
B. W. Tinker School,school
Avon Middle School,school
North Branford High School,school
Highland School,school
McDonough Middle School,school
Dr. Helen Baldwin Middle School,school
Tashua School,school
South Windsor High School,school
Hampton Elementary School,school
Wilbur Cross High School,school
Parker Farms School,school
Northville Elementary School,school
Gaffney School,school
Portland Middle School,school
Verplanck School,school
Whiting Lane School,school
Coleytown Elementary School,school
Eli Whitney School,school
Guilford High School,school
Waterbury Arts Magnet School (High),school
Geraldine Claytor Magnet Academy,school
Duffy School,school
Brownstone Intermediate School,school
Dunbar Hill School,school
Hooker School,school
Stonington BOE Pre-School,school
King's Highway Elementary School,school
Interdistrict Discovery Magnet School,school
Turn of River School,school
Nathan Hale School,school
Suffield School District,school
Plymouth Center School,school
Stafford School District,school
Putnam High School,school
Hebron School District,school
Sports and Medical Sciences Academy,school
Simsbury High School,school
Connecticut IB Academy,school
Middlesex Middle School,school
Rock Hill School,school
Colchester Elementary School,school
South School,school
Middlebrook School,school
Moody School,school
Forbes School,school
Torrington School District,school
Weston Intermediate School,school
Helen Street School,school
Burr School,school
Henry James Memorial School,school
Highland School,school
Thomaston High School,school
Henry Barnard School,school
Roxbury School,school
Wapping Elementary School,school
Margaret M. Generali Elementary School,school
Sharon School District,school
Tomlinson Middle School,school
Enfield School District,school
Crystal Lake School,school
Branford School District,school
Portland School District,school
Hall School,school
Newington High School,school
Thomaston School District,school
Morley School,school
Ansonia Middle School,school
North Street School,school
Pomfret School District,school
Hebron Avenue School,school
West Shore Middle School,school
Glastonbury School District,school
Scotland School District,school
Jared Eliot School,school
Harborside Middle School,school
Derby Middle School,school
McKinley School,school
Veterans' Memorial School,school
Carl C. Cutler Middle School,school
Buckley School,school
Green's Farms School,school
Tariffville School,school
Barnum School,school
East Lyme Middle School,school
John F. Kennedy High School,school
Meadowside School,school
Memorial School,school
Kendall Elementary School,school
Skane Center,school
Joseph Melillo Middle School,school
Sprague School District,school
Birch Grove Primary School,school
Dag Hammarskjold Middle School,school
Ridgefield High School,school
Salem School District,school
Hill Regional Career High School,school
Stadley Rough School,school
Farmington High School,school
Betances STEM Magnet School,school
Myrtle H. Stevens School,school
Mary T. Murphy School,school
Enfield Street School,school
Wallingford School District,school
Samuel Staples Elementary School,school
Broad Brook Elementary School,school
Granby Memorial Middle School,school
Sarah Noble Intermediate School,school
Woodside Intermediate School,school
Lyman Hall High School,school
Hamden School District,school
East Haven School District,school
Bristol Early Childhood Center-BECC,school
Maloney Interdistrict Magnet School,school
Barkhamsted School District,school
Darien High School,school
Thompson Brook School,school
Fair Haven School,school
New Canaan High School,school
Ashford School District,school
Lincoln Middle School,school
Weston Middle School,school
Clinton Avenue School,school
Webster Hill School,school
Swift Middle School,school
Doolittle School,school
King Street Intermediate School,school
Bethel High School,school
Bear Path School,school
Ellington Middle School,school
Naugatuck School District,school
Andover Elementary School,school
Mill Hill School,school
Ellington School District,school
Joseph A. Foran High School,school
Central Middle School,school
West Woods Upper Elementary School,school
Lordship School,school
Western School,school
Norton School,school
Norwalk High School,school
Preston Veterans' Memorial School,school
Thompson School District,school
Crosby High School,school
East Windsor High School,school
Winthrop School,school
Lebanon Elementary School,school
Naylor/CCSU Leadership Academy,school
Quaker Farms School,school
Albert D. Griswold Middle School,school
Ledyard High School,school
Cromwell Middle School,school
North Haven High School,school
Central School,school
Columbus Family Academy,school
Sprague School,school
Wintonbury Early Childhood Magnet School,school
E. C. Adams Middle School,school
Great Neck Elementary School,school
Thomaston Center School,school
South Windsor School District,school
West Vine Street School,school
Charter Oak International Academy,school
Mary L. Tracy School,school
